d1_idx,d1_date,year,reached_day2,true_breakdown,index_key,index_name,ma_window
3768,2019-07-08,2019,True,True,sse,上证指数,25
3803,2019-08-26,2019,False,False,sse,上证指数,25
3824,2019-09-25,2019,True,True,sse,上证指数,25
3835,2019-10-17,2019,True,True,sse,上证指数,25
3852,2019-11-11,2019,True,True,sse,上证指数,25
3902,2020-01-21,2020,False,False,sse,上证指数,25
3904,2020-01-23,2020,True,True,sse,上证指数,25
3924,2020-02-28,2020,False,False,sse,上证指数,25
3930,2020-03-09,2020,False,False,sse,上证指数,25
3933,2020-03-12,2020,True,True,sse,上证指数,25
3980,2020-05-22,2020,True,True,sse,上证指数,25
4023,2020-07-24,2020,True,False,sse,上证指数,25
4036,2020-08-12,2020,True,False,sse,上证指数,25
4046,2020-08-26,2020,False,False,sse,上证指数,25
4053,2020-09-04,2020,True,True,sse,上证指数,25
4082,2020-10-23,2020,True,True,sse,上证指数,25
4115,2020-12-09,2020,True,True,sse,上证指数,25
4124,2020-12-22,2020,True,True,sse,上证指数,25
4150,2021-01-28,2021,True,True,sse,上证指数,25
4164,2021-02-24,2021,False,False,sse,上证指数,25
4166,2021-02-26,2021,True,True,sse,上证指数,25
4196,2021-04-12,2021,True,True,sse,上证指数,25
4206,2021-04-26,2021,False,False,sse,上证指数,25
4210,2021-04-30,2021,True,True,sse,上证指数,25
4239,2021-06-16,2021,True,True,sse,上证指数,25
4283,2021-08-17,2021,True,True,sse,上证指数,25
4310,2021-09-27,2021,True,True,sse,上证指数,25
4365,2021-12-20,2021,False,False,sse,上证指数,25
4372,2021-12-29,2021,False,False,sse,上证指数,25
4376,2022-01-05,2022,True,True,sse,上证指数,25
4413,2022-03-04,2022,True,True,sse,上证指数,25
4498,2022-07-11,2022,True,True,sse,上证指数,25
4530,2022-08-24,2022,True,True,sse,上证指数,25
4607,2022-12-19,2022,True,True,sse,上证指数,25
4645,2023-02-17,2023,False,False,sse,上证指数,25
4651,2023-02-27,2023,False,False,sse,上证指数,25
4659,2023-03-09,2023,True,True,sse,上证指数,25
4690,2023-04-24,2023,True,True,sse,上证指数,25
4699,2023-05-10,2023,True,True,sse,上证指数,25
4729,2023-06-21,2023,True,True,sse,上证指数,25
4738,2023-07-06,2023,True,True,sse,上证指数,25
4764,2023-08-11,2023,True,True,sse,上证指数,25
4834,2023-11-27,2023,True,True,sse,上证指数,25
